QID,Wikidata_QID,Geni_IDs,Label,Description,Properties
Q108259,Q54862187,,Asma daughter of Anas ibn Mudrik,,11
Q10826,,,Prince Fujiwara (daughter of Fujiwara no Kimizane),,1
Q108260,,,Ibrahim  .,,7
Q108261,Q54862156,,Suleiman son of Khalid son of Al-Walid,,10
Q108262,,,Jaafar  .,,7
Q108263,Q20388817,,Muhajir ibn Khalid,,9
Q108264,,,Mohammad  .,,7
Q108265,Q3399546,,Abdulreman ibn Khalid,,11
Q108266,,,Abdullah alAkbar  . I,,8
Q108267,Q27996750,,Abān ibn al-Walīd,,9
Q108268,,,Ali  Abu Turab,,7
Q108269,Q12186047,,Al-Harith ibn Hisham ibn al-Mughira,,12
Q10827,,,Tameko Fujiwara (daughter of Fujiwara no Tamefusa),,1
Q108270,,,Mousa  .,,7
Q108271,Q22688793,,Abd al-Rahman ibn al-Harith ibn Hisham,,10
Q108272,,,Ali  .,,7
Q108273,Q7881630,,Umm Hakim daughter of al-Harith ibn Hisham,,10
Q108274,,,Ahmed  .,,7
Q108275,Q6807847,,Shaybah ibn Rabi'ah,,10
Q108276,,,Hamza  .,,7
Q108277,Q109132128,,Abd al-Rahman ibn Aban ibn Uthman,,8
Q108278,,,Ahmed  .,,7
Q108279,Q125493336,,Mas'ud ibn Khalid,,8
Q10828,,,Daughter of Fujiwara no Norikata (wife of Fujiwara no Tsunezane),,1
Q108280,,,alAbbas  .,,7
Q108281,Q4664522,,Abd-Allah ibn Muhammad ibn al-Hanafiyyah,,10
Q108282,,,Hamza  .,,7
Q108283,Q5678326,,Hasan ibn Muhammad ibn al-Hanafiyyah,,9
Q108284,,,Ali  .,,7
Q108285,Q12223595,,Abd Allah ibn Muslim ibn Aqil,,10
Q108286,,,Ali al-Sha'rani,,7
Q108287,Q66816924,,Manzoor,,8
Q108288,,,Hamza  Al-Husayni,,7
Q108289,Q6418302,,Al-Ash'ath ibn Qays,,11
Q108290,,,Abdullah  .,,7
Q108291,Q12223462,,Abd Allah al-Mahd,,13
Q108292,,,Jaafar  .,,7
Q108293,Q12181634,,Ibrahim al Ghamr,,10
Q108294,,,Mohammed  .,,7
Q108295,Q6414189,,al-Hasan al-Muthallath,,11
Q108296,,,alHussein  .,,7
Q108297,Q311153,,Muhammad al-Baqir,,13
Q108298,,,Hamza  .,,7
Q108299,Q5678323,,Hasan ibn Zayd ibn Hasan,,10
Q1083,,,Euungulata,,9
Q10830,Q22123836,,Fujiwara no Tsunesada,,10
Q108300,,,alHassan  .,,7
Q108301,Q208463,,Yazdegerd III,,11
Q108302,,,sayid Muhammad,,6
Q108303,Q1362174,,Peroz III,,11
Q108304,,,N.N.  Zauja-e-'Amr al-Baghdadi,,7
Q108305,Q2110595,,Bahram VII,,11
Q108306,,,Aslan al-Isbili bin 'Amr al-Baghdadi,,7
Q108307,Q144287,,Zayd ibn Ali,,11
Q108308,,,Jaafar  .,,7
Q108309,Q20381902,,Husain son of Ali son of Husain,,8
Q10831,Q11623461,,Fujiwara no Tsunemune,,10
Q108310,,,Ali  .,,7
Q108311,Q86971021,,Abdullah son of Ali son of al-Hussein,,8
Q108312,,,alHassan  Al Bagheed,,7
Q108313,Q2724873,,Qusai ibn Kilab,,14
Q108314,,,Obaid Allah  .,,7
Q108315,Q13099864,,Hubba daughter of Hulail,,9
Q108316,,,Ismaeel  .,,7
Q108317,Q1649531,,Abd-al-Dar ibn Qusai,,9
Q108318,,,"Ubaydu’lláh ibn Ahmad, “al-Mahdi”, Fatimid Caliph of Egypt (846-934)",,6
Q108319,Q18558756,,Raytah of Ta'if,,9
Q10832,,,Teng Yuan Guang Zhong,,1
Q108320,,,No Name  Zauja-e-Ahmad son of Ismail,,7
Q108321,Q18558763,,Waqida daughter of Amr,,8
Q108322,,,Umm ??? binte Ahmad,,8
Q108323,Q28050477,,Umamah Al-Abashmiyeh,,8
Q108324,,,al-Hussein son of Ahmad,,6
Q108325,Q135065450,,Rabi'a ibn Abd Shams,,9
Q108326,,,Ali son of Ahmad,,6
Q108327,Q125983809,,Subaya daughter of Abd Shams ibn Abd Manaf,,8
Q108328,,,Ismail al-Ahwal son of Ahmad,,6
Q108329,Q124768221,,ʻAdī ibn nawfl,,8
Q10833,,,Daughter of Fujiwara no Yoshizane (wife of Minamoto no Michiyori),,1
Q108330,,,al-Hasan son of Muhammad son of Ismail,,6
Q108331,Q12195119,,Imruʼ al-Qays ibn al-Aṣbagh al-Kalbī,,7
Q108332,,,9,,6
Q108333,Q12178029,,Abu Salama ibn Abd al-Rahman ibn Awf,,9
Q108334,,,Syed Abdul Majid,,6
Q108335,Q20390861,,Amina daughter of Khalaf,,9
Q108336,,,Ali Akbar son of Musa,,6
Q108337,Q20382841,,Sa'id ibn Khalid,,9
Q108338,,,Sayyida Zainab binte Muhammad,,6
Q108339,Q108374996,,Muhammad ibn Ja'far ibn al-Zubayr,,8
Q10834,,,Daughter of Fujiwara no Yoshizane (wife of Fujiwara no Muneyoshi),,1
Q108340,,,"Imaam Husain ""Radi Abdullah"" bin Imaam Ahmad ""Muhammad at-Taqi"" al-Zakī ʿAbd Allāh) (True name: al",,9
Q108341,Q4666107,,Abdullah ibn Ali,,10
Q108342,,,"Muhammad ""Saeed-ul-Khair"" bin Imaam Ahmad bin Abdullah bin Maulaana Muhammad bin Ismaail",,6
Q108343,Q6892574,,Muhammad ibn Ali al-Abbasi,,12
Q108344,,,"Sayyidati No Name (1) binte Imaam Ahmad ""Muhammad at-Taqi""",,6
Q108345,Q11950487,,Sulayman ibn Ali al-Hashimi,,11
Q108346,,,Sayyid 'Ali bin Muhammad bin 'Ali,,6
Q108347,Q7404507,,Salih ibn Ali,,11
Q108348,,,alHussein  .,,7
Q108349,Q61074158,,Umm Walad,,9
Q10835,,,Daughter of Fujiwara no Yoshizane (wife of Minamoto no Michitaka),,1
Q108350,,,alHassan  .,,7
Q108351,Q12240263,,Muhammad ibn Muslim ibn Aqil,,9
Q108352,,,Syed Rijaal  Saahib,,7
Q108353,Q122918216,,Atika daughter of Muslim ibn Aqil,,9
Q108354,,,Muhammad al-Qa'im,,8
Q108355,Q61314438,,Ibraheem ibn Muslim,,8
Q108356,,,Ahmed son of Ahmed,,6
Q108357,Q12207768,,Hazn ibn Abi Wahb,,8
Q108358,,,Shareef son of Ali,,6
Q108359,Q20404489,,Fatima daughter of Abd Allah,,8
Q10836,,,Daughter of Fujiwara Nozane (wife of Fujiwara Tadamune),,1
Q108360,,,al-Hussein son of Ali,,6
Q108361,Q22686401,,Busra daughter of Safwan,,8
Q108362,,,Ali son of al-Qasem,,6
Q108363,Q2327777,,Kilab ibn Murrah,,11
Q108364,,,Ali son of al-Qasem,,6
Q108365,Q5437875,,Fatimah bint Sa'd,,10
Q108366,,,Ali son of Ahmed,,6
Q108367,Q109257967,,Abd al-Hamid ibn Abd al-Rahman ibn Zayd ibn al-Khattab,,8
Q108368,,,Ja'afar bin Ahmed,,6
Q108369,Q27841641,,Zayd ibn Amr,,10
Q10837,Q106449436,,Minamoto no Tsuemune's daughter,,8
Q108370,,,Abdullah bin Ja'far,,6
Q108371,Q6814215,,ʿAbdullāh son of Maẓʿūn,,7
Q108372,,,al-Husayn bin Ja'far,,6
Q108373,Q28713097,,Sa'd ibn Mas'ud al-Thaqafi,,7
Q108374,,,'Ali bin Muhammad,,6
Q108375,Q67921864,,Umm Thabit daughter of Samura,,10
Q108376,,,al-Husayn  Al-Zaydi,,7
Q108377,Q20420081,,Amra bint Nu'man,,11
Q108378,,,Naser Kabir(Naserolhagh)  .,,7
Q108379,Q108828124,,Asim ibn Muhammad ibn Zayd al-Umari,,8
Q10838,,,Daughter of Fujiwara Tamefusa (second wife of Fujiwara Tadanori),,1
Q108380,,,AbuJafar Tabari  .,,7
Q108381,Q108904726,,Umar ibn Muhammad ibn Zayd al-Umari,,8
Q108382,,,Abu Mohammad Hassan - Daii e Saghir Qasim,,6
Q108383,Q108904736,,Waqid ibn Muhammad ibn Zayd al-Umari,,8
Q108384,,,Abu'l Qasim Ja'afar bin Hasan,,6
Q108385,Q36788,,Abd al-Malik ibn Marwan,,13
Q108386,,,Abu'l Husain Ahmad bin Hasan,,6
Q108387,Q11909475,,Bishr ibn Marwan,,11
Q108388,,,Ahmad b. Hasan al Utrush,,6
Q108389,Q4897304,,Muhammad ibn Marwan,,11
Q10839,,,Daughter of Oike Shiritsugu (wife of Fujiwara Tadanori),,1
Q108390,,,Ja'far bin  Hasan al-Utrush,,7
Q108391,,,Mohammad b. Hasan al-Utrush,,6
Q108392,Q60793001,,Aban ibn Marwan,,8
Q108393,,,Ali b. Hasan al-Utrush,,6
Q108394,Q86754452,,Ubayd Allah ibn Marwan,,8
Q108395,,,Abolghassem,,6
Q108396,Q22928703,,Umm al-Banin daughter of Abdul Aziz,,10
Q108397,,,Hassan father of Al Sharif al-Murtada's mother,,6
Q108398,Q12230162,,Fatima daughter of Abd al-Malik,,9
Q108399,,,sayedna ahsan abulfazal,,6
Q1084,,,Ferae,,9
Q10840,Q11623289,,Norinaga Fujiwara,,7
Q108400,Q12223831,,Abdul-Malik ibn Umar ibn Abdul-Aziz,,8
Q108401,,,Syedina Ali Iraqi,,6
Q108402,Q11903707,,Abd Allah ibn Umar ibn Abd al-Aziz,,8
Q108403,,,Syed Ali  Iraqi,,7
Q108404,Q120231897,,Abd al-Aziz ibn Umar ibn Abd al-Aziz,,8
Q108405,,,Syed Ali  Iraqi,,7
Q108406,Q126889641,,Amr ibn Ka'b al-Taymi,,9
Q108407,,,Ali  .,,7
Q108408,Q109259057,,Yahya ibn Abbad ibn Abdullah ibn al-Zubayr,,8
Q108409,,,Mohammad MOHAMMAD  SHAH,,7
Q10841,Q11659573,,Nanba Yorisuke,,9
Q108410,Q130266884,,Omar ibn Abdullah ibn Urwa,,8
Q108411,,,Taher  .,,7
Q108412,Q101092221,,Al-Qa'qa' ibn Ma'bad al-Tamimi,,9
Q108413,,,عبيد الله الثالث أبو علي,,6
Q108414,Q106364005,,Abu Jahm ibn Hudhayfa,,9
Q108415,,,Obeidollah III  .,,7
Q108416,Q125493226,,Muhammad ibn Abi Jahm,,9
Q108417,,,Zayd son of Yahya son of Hasan,,6
Q108418,Q130257274,,Mu'awiya ibn Ishaq ibn Talha ibn Ubayd Allah,,8
Q108419,,,alHussein  .,,7
Q10842,,,Fujiwara Tadamoto (Naniwa family),,1
Q108420,Q4666114,,Abd Allah ibn Mu'awiya,,9
Q108421,,,Ali  .,,7
Q108422,Q170046,,Jaafar Al-Sadiq,,13
Q108423,,,Jaafar  .,,7
Q108424,Q6538437,,Abu Hashim ibn Utbah,,11
Q108425,,,Ali  .,,7
Q108426,Q12217134,,Sahla daughter of Asim,,8
Q108427,,,Yihya  .,,7
Q108428,Q7399676,,Sahla daughter of Suhayl,,9
Q108429,,,alHassan  .,,7
Q10843,Q106459722,,Fujiwara no Tadanori's daughter,,8
Q108430,Q20423280,,Mus'ab ibn Abd al-Rahman ibn Awf,,9
Q108431,,,Mohammed  .,,7
Q108432,Q12189926,,Al-'As ibn Wa'il,,11
Q108433,,,Eesa  .,,7
Q108434,Q6505610,,Salma daughter of Harmalah,,9
Q108435,,,Mousa  .,,7
Q108436,Q2680787,,Hisham ibn al-As,,9
Q108437,,,alQasem  .,,7
Q108438,Q25545439,,Rayta daughter of Munabbih,,10
Q108439,,,alHassan  .,,7
Q10844,,,Teng Yuan Qin Zhong,,1
Q108440,Q2815298,,'Abd Allah ibn 'Amr ibn al-'As,,11
Q108441,,,alHussein  .,,7
Q108442,Q96966921,,Muhammad ibn Amr ibn al-'As,,8
Q108443,,,Ahmed  .,,7
Q108444,Q16693597,,Sa'd ibn Ibrahim al-Zuhri,,11
Q108445,,,Zaid  .,,7
Q108446,Q109259116,,Al-Miswar ibn Ibrahim,,8
Q108447,,,Mohammed  .,,7
Q108448,Q12201493,,Al-Dahhak ibn Qays al-Fihri,,10
Q108449,,,Zaid  .,,7
Q10845,,,Teng Yuan Jiao Liang,,1
Q108450,Q126889259,,Umar ibn Makhzum,,9
Q108451,,,Mohammed  .,,7
Q108452,Q20413389,,Abd Allah ibn Abi Rabi'a,,10
Q108453,,,Ahmed  .,,7
Q108454,Q16151319,,Ayyash ibn Abi Rabi'a,,9
Q108455,,,Ali  .,,7
Q108456,Q334995,,Amr ibn Hisham,,11
Q108457,,,Ahmed  .,,7
Q108458,Q12210063,,Khalid ibn Hisham,,8
Q108459,,,Ahmed  .,,7
Q10846,Q24862166,,Fujiwara no Mototaka,,9
Q108460,Q12216555,,Salama ibn Hisham,,9
Q108461,,,Zaid  .,,7
Q108462,Q27892739,,Aminah daughter of Aban,,8
Q108463,,,Ahmed  .,,7
Q108464,Q124790935,,Ṣafiyyah daughter of ʾUmayyah,,9
Q108465,,,Mohammed  .,,7
Q108466,Q89829455,,ʾUmm Kulthūm daughter of ʿUtbah,,8
Q108467,,,alHassan  .,,7
Q108468,Q3819036,,Muhammad ibn Abi Hudhayfa,,9
Q108469,,,Ali  .,,7
Q10847,,,Daughter of Takashina Tameyuki (wife of Fujiwara Kiyotaka),,1
Q108470,Q6541274,,Abān ibn Saʻīd,,10
Q108471,,,Hamza  .,,7
Q108472,Q3595521,,Abd Allah ibn Amir,,10
Q108473,,,Ahmed  .,,7
Q108474,Q2056226,,Al-Harith ibn Kalada,,10
Q108475,,,alHassan (Abu Mohammed)  .,,7
Q108476,Q89829522,,Amat Allah daughter of Abi Bakra,,8
Q108477,,,No Name  Zauja-e-Ahmad son of Umar,,7
Q108478,Q11953869,,Ubayd Allah ibn Abi Bakra,,9
Q108479,,,al-Husain son of Ahmad son of Umar,,6
Q108480,Q122173373,,Abd al-Rahman ibn Abi Bakra,,8
Q108481,,,Hazrat Sayyid Abu Abdullah son of Muhammad son of Umar,,6
Q108482,Q20425831,,Hind daughter of Asma al-Fazariyya,,8
Q108483,,,hazrath syed abu abdullah(RA),,6
Q108484,Q28714860,,A'isha bint Mu'awiya ibn al-Mughira,,10
Q108485,,,al-Hassan,,7
Q108486,Q118906684,,Umm Hakim daughter of Yahya,,10
Q108487,,,alQasem  .,,7
Q108488,Q314791,,Yazid II,,12
Q108489,,,Ali  .,,7
Q10849,Q11623163,,Fujiwara no Munesuke,,10
Q108490,Q16127608,,Abu Muhammad al-Sufyani,,9
Q108491,,,Ismaeel  .,,7
Q108492,Q7398854,,Safwan ibn Umayya,,10
Q108493,,,alHassan  .,,7
Q108494,Q12209989,,Khalid ibn al-As,,9
Q108495,,,Ahmed  .,,7
Q108496,Q20391274,,Anas ibn Mudrik,,10
Q108497,,,alHassan  .,,7
Q108498,Q65038133,,Asma daughter of Mukhriba,,9
Q108499,,,Abdullah  .,,7
Q1085,,,Artiodactyla,,9
Q10850,Q106399074,,Kasuga-dono,,7
Q108500,Q12177895,,Abu Bakr ibn Abd al-Rahman,,8
Q108501,,,alHassan  .,,7
Q108502,Q565522,,Ikrima ibn Amr,,11
Q108503,,,Mohammed  .,,7
Q108504,Q1110702,,Khalid ibn Sa`id,,11
Q108505,,,Abdallah,,6
Q108506,Q6830610,,Qutaylah daughter of Qays,,8
Q108507,,,Hazrat  Adham Shah,,7
Q108508,Q124771497,,Muhammad ibn al-Ash'ath al-Kindi,,11
Q108509,,,No Name  Zauja-e-Sayyidna Ahmad son of Dawood,,7
Q10851,,,Daughter of Fujiwara Sadanari (wife of Fujiwara Mototoshi),,1
Q108510,Q12222156,,Atika daughter of Abd al-Malik al-Makhzumi,,9
Q108511,,,Abu Ali Sayyidna Hasan son of Ahmad son of Dawood son of Muhammad,,6
Q108512,Q533216,,Muhammad al-Nafs al-Zakiyya,,11
Q108513,,,Sayyidna Ja'afar bin Mansoor ul-Yaman,,6
Q108514,Q438601,,Idris Ibn Abdallah,,13
Q108515,,,Makhzum son of Yaqthah,,6
Q108516,Q11926379,,Ibrahim ibn Abd-Al·lah,,10
Q108517,,,No Name  Zauja-e-'Abdullah al-Makhzumi,,9
Q108518,Q11955461,,Yahya ibn Abd Allah,,9
Q108519,,,Umm Ja'far  Al-Husayni,,7
Q10852,,,Huang Jue,,1
Q108520,Q6874431,,Musa al-Jawn,,9
Q108521,,,Ishaq son of Ibrahim al-Imam,,6
Q108522,Q48772415,,Sulyaman I of Tlemcen,,9
Q108523,,,Muhammad son of Ibrahim al-Imam,,6
Q108524,Q20394864,,Ismail ibn Ibrahim al-Ghamr,,9
Q108525,,,Abdul Wahab son of Ibrahim al-Imam,,6
Q108526,Q30081871,,Ali al-Abid,,8
Q108527,,,al-Fafa  Al-Abbasi,,7
Q108528,Q5736319,,Sultan Ali,,9
Q108529,,,Isa Sheikh al-Dawla,,8
Q10853,,,Fujiwara Michimoto (Minister of Treasury),,1
Q108530,Q12177592,,Amina daughter of Muhammed Al-Baqir,,8
Q108531,,,'Abd ar-Rahman bin 'Abd al-Malik bin Salih,,6
Q108532,Q6408431,,Sayyida Nafisa,,11
Q108533,,,Maulana Mudzakir\Syaikh Mudzakir Arumni  Syaikh Mudzakir Arumni,,7
Q108534,Q127602906,,Qasim ibn Hasan,,11
Q108535,,,Silsal daughter of Atta,,6
Q108536,Q25206307,,Shahriyar,,11
Q108537,,,Zubaidah daughter of  Ja’far,,9
Q108538,Q860075,,Narsieh,,9
Q108539,,,al-Khayzuran daughter of Atta,,7
Q10854,Q17215874,,Fujiwara no Nobumichi,,10
Q108540,Q56356542,,Khosrow V,,9
Q108541,,,al-Mansūr son of Muhammad al-Mahdī,,7
Q108542,Q5954929,,Yahya ibn Zayd,,11
Q108543,,,Musa al-Hadi Al-Abbasi,,9
Q108544,Q109012186,,Isa son of Zayd son of Ali,,9
Q108545,,,Harun al-Rashid Al-Abbasi,,9
Q108546,Q124506430,,Husayn ibn Zayd,,10
Q108547,Q305965,,Abbasah binte Muhammad al-Mahdī,,10
Q108548,Q107177896,,Sallamah Umm Abdallah,,9
Q108549,,,Maknuna,,6
Q10855,Q11623024,,Fujiwara no Koremichi,,12
Q108550,Q252087,,As-Saffah,,13
Q108551,,,Princess Aliyah,,8
Q108552,Q31066,,Al-Mansur,,13
Q108553,,,الخيزران,,6
Q108554,Q3827910,,Ibrahim al-Imam,,11
Q108555,,,4- 786-787,,8
Q108556,Q11904583,,Al-Abbàs ibn Muhàmmad,,10
Q108557,,,5- 787-809,,8
Q108558,Q22690811,,Yahya ibn Muhammad al-Abbasi,,8
Q108559,,,العباسة أو علية,,6
Q10856,,,Teng Yuan Ji Tong,,1
Q108560,Q96382911,,Ishaq ibn Sulayman al-Hashimi,,8
Q108561,,,(3) AL-MAHDI 775-785,,6
Q108562,Q96371754,,Ali ibn Sulayman ibn Ali al-Hashimi,,9
Q108563,,,,,6
Q108564,Q97481705,,Muhammad ibn Sulayman ibn Ali,,11
Q108565,,,Adi bin Ka'ab,,6
Q108566,Q124746357,,Zaynab daughter of Sulaymān,,10
Q108567,,,Sa'ad bin Taym,,7
Q108568,Q22684309,,Ibrahim ibn Salih,,10
Q108569,,,Zarah,,6
Q10857,,,Teng Yuan Cheng Tong,,1
Q108570,Q4702357,,Al-Fadl ibn Salih,,10
Q108571,,,NN  NN,,7
Q108572,Q86010117,,Isma'il ibn Salih ibn Ali al-Hashimi,,8
Q108573,,,Abd  Al-Zuhri,,7
Q108574,Q4664571,,Abd al-Malik ibn Salih,,10
Q108575,,,Munainah binti Al-Harits,,6
Q108576,Q106313886,,Al-Musayyib ibn Hazm,,9
Q108577,,,Fatima,,6
Q108578,Q18391382,,Muawiyah son of Al Mugheerah,,10
Q108579,,,Nawfal son of Khuwaylid,,6
Q108580,Q12242034,,Murrah ibn Ka'b,,10
Q108581,,,No Name  Zauja-e-Sayyidna Nawfal bin As'sad,,7
Q108582,Q7410274,,Samra ibn Jundab,,8
Q108583,,,Abd al-Uzza ibn Uthman,,6
Q108584,Q12194428,,Nu'man ibn Bashir al-Ansari,,11
Q108585,,,Barráh Bint Abdul  Al Uzza Zauja-e-Wahb bin 'Abd al-Manaf,,8
Q108586,Q96007200,,Humayda bint al-Nu'man,,8
Q108587,,,Dhakwan son of Saleem,,7
Q108588,Q30081434,,Hind bint al-Nu'man,,8
Q108589,,,Aminah binte al-Kama al-Kinaniyya,,7
Q10859,Q106448370,,Fujiwara no Muneko,,11
Q108590,Q124435729,,Wallada daughter of al-Abbas ibn al-Jaz,,9
Q108591,,,Umaimah,,6
Q108592,Q124435736,,Aisha daughter of Musa,,8
Q108593,,,Amina daughter of Alqama  al-Kinaiyya,,7
Q108594,Q284003,,Al-Walid I,,13
Q108595,,,Fakhita bint  Sa'id,,7
Q108596,Q128332,,Hisham ibn Abd al-Malik,,13
Q108597,,,Muʿāwiyah I son of Abu Sufyaan 1st Umayyad Caliph,,9
Q108598,Q284233,,Sulayman ibn Abd al-Malik,,12
Q108599,,,No Name  Zauja-e-al-Waleed bin 'Utbah,,7
Q1086,,,Perissodactyla,,9
Q10860,,,Teng Yuan Zong Zi,,1
Q108600,Q31974,,Maslamah ibn Abd al-Malik,,10
Q108601,,,Sahla binte Suhail,,6
Q108602,Q20424454,,Marwan ibn Abd al-Malik,,8
Q108603,,,NN,,6
Q108604,Q12240196,,Muhammad ibn Abd al-Malik ibn Marwan,,8
Q108605,,,Zaynab daughter of  Nawfal,,7
Q108606,Q16118751,,Sa'id ibn Abd al-Malik,,9
Q108607,,,Yazid son of Abi Sufyan,,8
Q108608,Q4664689,,Abdallah ibn Abd al-Malik,,10
Q108609,,,No Name daughter of  Zauja-e-Abu Sufyaan,,7
Q10861,,,Daughter of Fujiwara Munezane (wife of Fujiwara Nagatada),,1
Q108610,Q117312247,,Bakkar ibn Abd al-Malik,,8
Q108611,,,Atiqa daughter of  Abu Uzayhir,,7
Q108612,Q128371,,Marwan II,,10
Q108613,,,Anbasa son of Abi Sufyan,,6
Q108614,Q12328667,,Abd al-Aziz ibn al-Walid,,12
Q108615,,,Umayma daughter of  Saad,,7
Q108616,Q126889659,,Ka'b ibn Sa'd al-Taymi,,9
Q108617,,,NN Mr. Sakhr (Abu Sufyan),,6
Q108618,Q125493756,,Ma'bad ibn Zurara,,9
Q108619,,,Abu Waqqas,,6
Q10862,,,Daughter of Fujiwara Nagatada (wife of Fujiwara Mototaka),,1
Q108620,Q18689544,,Fatima Al-Hasan,,9
Q108621,,,Sa'd bin Abi Waqqas,,8
Q108622,Q5709703,,Hamida al-Barbariyya,,9
Q108623,,,Umair Abi Waqqas,,6
Q108624,Q315031,,Musa al-Kazim,,14
Q108625,,,Idris Asy Syafi'i  .,,7
Q108626,Q1650217,,Isma'il ibn Jafar,,12
Q108627,,,Abdullah Taee,,6
Q108628,Q4725296,,Ali al-Uraidhi ibn Ja'far al-Sadiq,,9
Q108629,,,Abdul Raheem Zain ul Abideen,,6
Q10863,,,Daughter of Fujiwara Nagatada (wife of Fujiwara Tadanobu),,1
Q108630,Q12223477,,Abdullah al-Aftah,,10
Q108631,,,Qasim Muhammad,,6
Q108632,Q85989653,,Muhammad ibn Ja'far al-Sadiq,,10
Q108633,,,Imam  Abul Lail,,7
Q108634,Q18595520,,Isḥâq ibn Ja'far al-Sadiq,,9
Q108635,,,Sultan Hussain Matrif Al-Qureshi son of  Sultan Hazeema Al-Qureshi,,7
Q108636,Q18595529,,Al-Abbas ibn Jafar,,8
Q108637,,,al-Harith Dhu-Marathid (ar-Ra'ish) Amir al-Hammal Dhu-Shadad Aad,,6
Q108638,Q18595559,,Fatima daughter of Jafar,,8
Q108639,,,Ghalib Yu'fir as-Saksak,,6
Q10864,,,Teng Yuan Neng Ding,,1
Q108640,Q18595601,,Umm Farwah daughter of Jafar,,8
Q108641,,,Hammad Nofal,,6
Q108642,Q18595646,,Asmaa daughter of Jafar,,8
Q108643,,,al-Hasan al-Da’i al-Saghir,,6
Q108644,Q1440361,,Suhayl ibn Amr,,10
Q108645,,,Ahmed  .,,7
Q108646,Q134820620,,Wa'il ibn Hashim,,9
Q108647,,,Ali  .,,7
Q108648,Q423772,,Uqba ibn Nafi,,10
Q108649,,,Ali (Abu alQasem)  .,,7
Q10865,,,Daughter of Fujiwara Korenobu (wife of Minamoto no Akitoshi),,1
Q108650,Q60565122,,Munabbih ibn al-Hajjaj,,9
Q108651,,,Isaac (Abu Mohammed)  .,,7
Q108652,Q12181692,,Ibrahim ibn Sa'd al-Zuhri,,10
Q108653,,,Umat alJaleel  .,,7
Q108654,Q22929345,,'Abd al-Rahman ibn al-Dahhak ibn Qays al-Fihri,,8
Q108655,,,Abu alHassan  .,,7
Q108656,Q126889273,,Makhzum ibn Yaqaza,,9
Q108657,,,Ismaeel  .,,7
Q108658,Q1058694,,Umar ibn Abi Rabi'ah,,10
Q108659,,,Mohammed (Abu Ali)  alAsghar,,7
Q10866,,,Sanjō Saneyuki,,1
Q108660,Q12185917,,Alqubāʻ,,9
Q108661,,,Mohammed  alAkbar,,7
Q108662,Q125494010,,Abu Uhayha Sa'id ibn al-As,,8
Q108663,,,Mohammed (Abu Abdullah)  .,,7
Q108664,Q22688930,,ʻAmr ibn Saʻīd ibn al-ʻĀṣ,,11
Q108665,,,Mousa  .,,7
Q108666,Q12185932,,al-Harith ibn al-Harith ibn Kalada,,8
Q108667,,,Jaafar  .,,7
Q108668,Q6646622,,Mu'awiyah ibn Hisham,,11
Q108669,,,Mohammed  .,,8
Q10867,,,Teng Yuan Neng Zhong,,1
Q108670,Q3300780,,Sulayman ibn Hisham,,11
Q108671,,,alHussein  .,,6
Q108672,Q87724579,,Maslama ibn Hisham,,11
Q108673,,,Obaid Alla  .,,7
Q108674,Q110654834,,Yazid al-Afqam,,9
Q108675,,,No Name  Zauja-e-'Ali bin Zayd,,7
Q108676,Q128307,,Al-Walid II,,11
Q108677,,,Hamzah bin 'Ali,,6
Q108678,Q117305106,,Al-Ghamr ibn Yazid,,9
Q108679,,,Daata Ganj Bakhsh Syed 'Ali Hujwiri bin 'Uthman al-Jullabi al-Haj,,6
Q10868,,,Fujiwara Munekane (son of Fujiwara Munezane),,1
Q108680,Q7881225,,Umayya ibn Khalaf,,10
Q108681,,,Dawud  Al-Idrisi,,7
Q108682,Q1108555,,Rab'ah ibn Umayah,,8
Q108683,,,Ali  Al Idrees,,7
Q108684,Q56256343,,Al-As ibn Hisham,,9
Q108685,,,Ahmed  Al Idrees,,8
Q108686,Q124463554,,Umm Amr bint Sa'id ibn Qays al-Hamdani,,9
Q108687,,,Al Hassan  Al Idrees,,8
Q108688,Q2820911,,Abd al-Rahman ibn Muhammad ibn al-Ash'ath,,10
Q108689,,,Ibrahim  Al Idrees,,7
Q10869,,,Daughter of Minamoto no Michiyori (wife of Minamoto no Motohira),,1
Q108690,Q4666063,,Abd Allah al-Ashtar,,9
Q108691,,,Eesa  Al Idrees,,7
Q108692,Q6731181,,al-Qasim son of al-Nafs al-Zakiya,,8
Q108693,,,'Abd ar-Rahman  Al-Hashimi,,7
Q108694,Q14555028,,Kenza al-Awrabiya,,9
Q108695,,,Ahmad  Al-Idrisi,,7
Q108696,Q922653,,Idris II,,12
Q108697,,,Ali  Al Idrees,,7
Q108698,Q6813920,,Abd Allah al-Shaykh al-Salih,,9
Q108699,,,Hammud  son of Ali,,7
Q1087,,,Carnivora,,8
Q10870,,,Chun Zi Nu Wang,,1
Q108700,Q12181791,,Ibrahim Tabataba,,9
Q108701,,,Ali Al-Battal,,6
Q108702,Q21087469,,Al-Husayn ibn Ali al-Abid,,10
Q108703,,,Ali  son of Idrees,,7
Q108704,Q127603092,,Abd al-Rahman ibn Qasim,,9
Q108705,,,Issa,,6
Q108706,Q212732,,Khosrow II,,12
Q108707,,,Abu al-Qasim  Al-Idrisi,,7
Q108708,Q445432,,Shirin,,11
Q108709,,,Syed Salam,,6
Q10871,Q11623459,,Fujiwara no Keishi/Tsuneko,,9
