cycle_len	cycle_head	parent	child	wd_parent	wd_child	verdict	detail
6	Q130582	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
6	Q130582	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
6	Q130582	Q74698 (Tros)	Q90374 (Iapetos)	Q79999		unknown	no Wikidata ID for Iapetos
6	Q130582	Q90374 (Iapetos)	Q130582 (Atlas)		Q130818	unknown	no Wikidata ID for Iapetos
12	Q74656	Q74656 (Q74656)	Q131757 (Epaphus)		Q675699	unknown	no Wikidata ID for Q74656
12	Q74656	Q131757 (Epaphus)	Q132283 (Libya)	Q675699	Q1129914	confirmed	Wikidata agrees Epaphus is a parent of Libya
12	Q74656	Q132283 (Libya)	Q90576 (Belus)	Q1129914	Q617753	confirmed	Wikidata agrees Libya is a parent of Belus
12	Q74656	Q90576 (Belus)	Q74973 (Danaus)	Q617753	Q161419	contradicted	Wikidata records no link between them; it gives Danaus's parents as Uranus
12	Q74656	Q74973 (Danaus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Danaus is a parent of Asia
12	Q74656	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
12	Q74656	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
12	Q74656	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
12	Q74656	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
12	Q74656	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
12	Q74656	Q74698 (Tros)	Q74680 (Saturn)	Q79999	Q44204	confirmed	Wikidata agrees Tros is a parent of Saturn
12	Q74656	Q74680 (Saturn)	Q74656 (Q74656)	Q44204		unknown	no Wikidata ID for Q74656
10	Q90576	Q90576 (Belus)	Q74973 (Danaus)	Q617753	Q161419	contradicted	Wikidata records no link between them; it gives Danaus's parents as Uranus
10	Q90576	Q74973 (Danaus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Danaus is a parent of Asia
10	Q90576	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
10	Q90576	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
10	Q90576	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
10	Q90576	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
10	Q90576	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
10	Q90576	Q74698 (Tros)	Q74680 (Saturn)	Q79999	Q44204	confirmed	Wikidata agrees Tros is a parent of Saturn
10	Q90576	Q74680 (Saturn)	Q75039 (Poseidon)	Q44204	Q41127	confirmed	Wikidata agrees Saturn is a parent of Poseidon
10	Q90576	Q75039 (Poseidon)	Q90576 (Belus)	Q41127	Q617753	confirmed	Wikidata agrees Poseidon is a parent of Belus
7	Q74973	Q74973 (Danaus)	Q130019 (Asia)	Q161419	Q605744	confirmed	Wikidata agrees Danaus is a parent of Asia
7	Q74973	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
7	Q74973	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
7	Q74973	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
7	Q74973	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
7	Q74973	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
7	Q74973	Q74698 (Tros)	Q74973 (Danaus)	Q79999	Q161419	confirmed	Wikidata agrees Tros is a parent of Danaus
7	Q130019	Q130019 (Asia)	Q130582 (Atlas)	Q605744	Q130818	confirmed	Wikidata agrees Asia is a parent of Atlas
7	Q130019	Q130582 (Atlas)	Q130716 (Electra)	Q130818	Q858663	confirmed	Wikidata agrees Atlas is a parent of Electra
7	Q130019	Q130716 (Electra)	Q131683 (Dardanus)	Q858663	Q461212	confirmed	Wikidata agrees Electra is a parent of Dardanus
7	Q130019	Q131683 (Dardanus)	Q132328 (Erichthonius of Dardania)	Q461212	Q1353705	confirmed	Wikidata agrees Dardanus is a parent of Erichthonius of Dardania
7	Q130019	Q132328 (Erichthonius of Dardania)	Q74698 (Tros)	Q1353705	Q79999	contradicted	Wikidata records no link between them
7	Q130019	Q74698 (Tros)	Q74970 (Tethys)	Q79999	Q184216	confirmed	Wikidata agrees Tros is a parent of Tethys
7	Q130019	Q74970 (Tethys)	Q130019 (Asia)	Q184216	Q605744	confirmed	Wikidata agrees Tethys is a parent of Asia
6	Q85498	Q85498 (Sekhemre Sementawi Djehuti)	Q85478 (Sekhemre Sankhtawy Neferhotep III)			unknown	no Wikidata ID for Sekhemre Sementawi Djehuti and Sekhemre Sankhtawy Neferhotep III
6	Q85498	Q85478 (Sekhemre Sankhtawy Neferhotep III)	Q85578 (Sankhenre Mentuhotep VI)			unknown	no Wikidata ID for Sekhemre Sankhtawy Neferhotep III and Sankhenre Mentuhotep VI
6	Q85498	Q85578 (Sankhenre Mentuhotep VI)	Q85554 (Sebekemsaf .)			unknown	no Wikidata ID for Sankhenre Mentuhotep VI and Sebekemsaf .
6	Q85498	Q85554 (Sebekemsaf .)	Q85528 (Yauyebi of Egypt)			unknown	no Wikidata ID for Sebekemsaf . and Yauyebi of Egypt
6	Q85498	Q85528 (Yauyebi of Egypt)	Q85514 (Senebhenaf .)			unknown	no Wikidata ID for Yauyebi of Egypt and Senebhenaf .
6	Q85498	Q85514 (Senebhenaf .)	Q85498 (Sekhemre Sementawi Djehuti)			unknown	no Wikidata ID for Senebhenaf . and Sekhemre Sementawi Djehuti
5	Q85578	Q85578 (Sankhenre Mentuhotep VI)	Q85554 (Sebekemsaf .)			unknown	no Wikidata ID for Sankhenre Mentuhotep VI and Sebekemsaf .
5	Q85578	Q85554 (Sebekemsaf .)	Q85528 (Yauyebi of Egypt)			unknown	no Wikidata ID for Sebekemsaf . and Yauyebi of Egypt
5	Q85578	Q85528 (Yauyebi of Egypt)	Q85514 (Senebhenaf .)			unknown	no Wikidata ID for Yauyebi of Egypt and Senebhenaf .
5	Q85578	Q85514 (Senebhenaf .)	Q85500 (Mentuhotep .)			unknown	no Wikidata ID for Senebhenaf . and Mentuhotep .
5	Q85578	Q85500 (Mentuhotep .)	Q85578 (Sankhenre Mentuhotep VI)			unknown	no Wikidata ID for Mentuhotep . and Sankhenre Mentuhotep VI
6	Q85478	Q85478 (Sekhemre Sankhtawy Neferhotep III)	Q85578 (Sankhenre Mentuhotep VI)			unknown	no Wikidata ID for Sekhemre Sankhtawy Neferhotep III and Sankhenre Mentuhotep VI
6	Q85478	Q85578 (Sankhenre Mentuhotep VI)	Q85554 (Sebekemsaf .)			unknown	no Wikidata ID for Sankhenre Mentuhotep VI and Sebekemsaf .
6	Q85478	Q85554 (Sebekemsaf .)	Q85528 (Yauyebi of Egypt)			unknown	no Wikidata ID for Sebekemsaf . and Yauyebi of Egypt
6	Q85478	Q85528 (Yauyebi of Egypt)	Q85514 (Senebhenaf .)			unknown	no Wikidata ID for Yauyebi of Egypt and Senebhenaf .
6	Q85478	Q85514 (Senebhenaf .)	Q85500 (Mentuhotep .)			unknown	no Wikidata ID for Senebhenaf . and Mentuhotep .
6	Q85478	Q85500 (Mentuhotep .)	Q85478 (Sekhemre Sankhtawy Neferhotep III)			unknown	no Wikidata ID for Mentuhotep . and Sekhemre Sankhtawy Neferhotep III
4	Q135406	Q135406 (Jehoiakim)	Q135539 (Jeconiah)	Q319034	Q319049	confirmed	Wikidata agrees Jehoiakim is a parent of Jeconiah
4	Q135406	Q135539 (Jeconiah)	Q4617 (Pedaiah)	Q319049	Q20101444	contradicted	Wikidata records no link between them
4	Q135406	Q4617 (Pedaiah)	Q60222 (Q60222)	Q20101444		unknown	no Wikidata ID for Q60222
4	Q135406	Q60222 (Q60222)	Q135406 (Jehoiakim)		Q319034	unknown	no Wikidata ID for Q60222
4	Q135406	Q135406 (Jehoiakim)	Q135539 (Jeconiah)	Q319034	Q319049	confirmed	Wikidata agrees Jehoiakim is a parent of Jeconiah
4	Q135406	Q135539 (Jeconiah)	Q4617 (Pedaiah)	Q319049	Q20101444	contradicted	Wikidata records no link between them
4	Q135406	Q4617 (Pedaiah)	Q4626 (Zebudah)	Q20101444	Q30527376	confirmed	Wikidata agrees Pedaiah is a parent of Zebudah
4	Q135406	Q4626 (Zebudah)	Q135406 (Jehoiakim)	Q30527376	Q319034	confirmed	Wikidata agrees Zebudah is a parent of Jehoiakim
2	Q29144	Q29144 (kay uyarsh Raja Iran)	Q29148 (kay pisan Raja Iran)			unknown	no Wikidata ID for kay uyarsh Raja Iran and kay pisan Raja Iran
2	Q29144	Q29148 (kay pisan Raja Iran)	Q29144 (kay uyarsh Raja Iran)			unknown	no Wikidata ID for kay pisan Raja Iran and kay uyarsh Raja Iran
2	Q29148	Q29148 (kay pisan Raja Iran)	Q52709 (Q52709)			unknown	no Wikidata ID for kay pisan Raja Iran and Q52709
2	Q29148	Q52709 (Q52709)	Q29148 (kay pisan Raja Iran)			unknown	no Wikidata ID for Q52709 and kay pisan Raja Iran
2	Q29144	Q29144 (kay uyarsh Raja Iran)	Q52713 (Q52713)			unknown	no Wikidata ID for kay uyarsh Raja Iran and Q52713
2	Q29144	Q52713 (Q52713)	Q29144 (kay uyarsh Raja Iran)			unknown	no Wikidata ID for Q52713 and kay uyarsh Raja Iran
10	Q6421	Q6421 (Shaodian)	Q87856 (Generation 2)	Q4302144		unknown	no Wikidata ID for Generation 2
10	Q6421	Q87856 (Generation 2)	Q87854 (Generation 3)			unknown	no Wikidata ID for Generation 2 and Generation 3
10	Q6421	Q87854 (Generation 3)	Q87852 (Generation 4)			unknown	no Wikidata ID for Generation 3 and Generation 4
10	Q6421	Q87852 (Generation 4)	Q87850 (Generation 5)			unknown	no Wikidata ID for Generation 4 and Generation 5
10	Q6421	Q87850 (Generation 5)	Q87848 (Q87848)			unknown	no Wikidata ID for Generation 5 and Q87848
10	Q6421	Q87848 (Q87848)	Q87846 (Q87846)			unknown	no Wikidata ID for Q87848 and Q87846
10	Q6421	Q87846 (Q87846)	Q87844 (Q87844)			unknown	no Wikidata ID for Q87846 and Q87844
10	Q6421	Q87844 (Q87844)	Q87842 (Q87842)			unknown	no Wikidata ID for Q87844 and Q87842
10	Q6421	Q87842 (Q87842)	Q87840 (Q87840)			unknown	no Wikidata ID for Q87842 and Q87840
10	Q6421	Q87840 (Q87840)	Q6421 (Shaodian)		Q4302144	unknown	no Wikidata ID for Q87840
7	Q171493	Q171493 (Venkatacharyar Jatavallabha (Jatavallabha award by Maha)	Q171595 (Rangacharya Jatavallabha (Jatavallabha award by Maha)			unknown	no Wikidata ID for Venkatacharyar Jatavallabha (Jatavallabha award by Maha and Rangacharya Jatavallabha (Jatavallabha award by Maha
7	Q171493	Q171595 (Rangacharya Jatavallabha (Jatavallabha award by Maha)	Q171604 (Venkatacharya Jatavallabha (Jatavallabha award by Maha)			unknown	no Wikidata ID for Rangacharya Jatavallabha (Jatavallabha award by Maha and Venkatacharya Jatavallabha (Jatavallabha award by Maha
7	Q171493	Q171604 (Venkatacharya Jatavallabha (Jatavallabha award by Maha)	Q171614 (Srinivasacharya Jatavallabha)			unknown	no Wikidata ID for Venkatacharya Jatavallabha (Jatavallabha award by Maha and Srinivasacharya Jatavallabha
7	Q171493	Q171614 (Srinivasacharya Jatavallabha)	Q171622 (Srinivasacharyar Jatavallabha (Jatavallabha award by Maha)			unknown	no Wikidata ID for Srinivasacharya Jatavallabha and Srinivasacharyar Jatavallabha (Jatavallabha award by Maha
7	Q171493	Q171622 (Srinivasacharyar Jatavallabha (Jatavallabha award by Maha)	Q171636 (Venkatacharya Jatavallabha (Jatavallabha award by Maha)			unknown	no Wikidata ID for Srinivasacharyar Jatavallabha (Jatavallabha award by Maha and Venkatacharya Jatavallabha (Jatavallabha award by Maha
7	Q171493	Q171636 (Venkatacharya Jatavallabha (Jatavallabha award by Maha)	Q171648 (Rangacharya Jatavallabha (Jatavallabha award by Maha)			unknown	no Wikidata ID for Venkatacharya Jatavallabha (Jatavallabha award by Maha and Rangacharya Jatavallabha (Jatavallabha award by Maha
7	Q171493	Q171648 (Rangacharya Jatavallabha (Jatavallabha award by Maha)	Q171493 (Venkatacharyar Jatavallabha (Jatavallabha award by Maha)			unknown	no Wikidata ID for Rangacharya Jatavallabha (Jatavallabha award by Maha and Venkatacharyar Jatavallabha (Jatavallabha award by Maha
2	Q23888	Q23888 (Uematsu Takamasa)	Q47737 (Iwakura Hiromasa)	Q11540635	Q11474167	inherited	Wikidata itself has Uematsu Takamasa (Q11540635) as BOTH parent and child of Iwakura Hiromasa (Q11474167) — the contradiction is upstream
2	Q23888	Q47737 (Iwakura Hiromasa)	Q23888 (Uematsu Takamasa)	Q11474167	Q11540635	inherited	Wikidata itself has Iwakura Hiromasa (Q11474167) as BOTH parent and child of Uematsu Takamasa (Q11540635) — the contradiction is upstream
2	Q73872	Q73872 (Lucius Fulvius Curvus)	Q73958 (Lucius Fulvius, II)			unknown	no Wikidata ID for Lucius Fulvius Curvus and Lucius Fulvius, II
2	Q73872	Q73958 (Lucius Fulvius, II)	Q73872 (Lucius Fulvius Curvus)			unknown	no Wikidata ID for Lucius Fulvius, II and Lucius Fulvius Curvus
2	Q73530	Q73530 (Marcus Flaccus)	Q73653 (Cassus Curvus)			unknown	no Wikidata ID for Marcus Flaccus and Cassus Curvus
2	Q73530	Q73653 (Cassus Curvus)	Q73530 (Marcus Flaccus)			unknown	no Wikidata ID for Cassus Curvus and Marcus Flaccus
11	Q160580	Q160580 (SURYA Dev aka SUN GOD Kashyap)	Q160673 (YAMA Dharma)			unknown	no Wikidata ID for SURYA Dev aka SUN GOD Kashyap and YAMA Dharma
11	Q160580	Q160673 (YAMA Dharma)	Q160640 (SUNITA Anga)			unknown	no Wikidata ID for YAMA Dharma and SUNITA Anga
11	Q160580	Q160640 (SUNITA Anga)	Q160615 (VENA Anga)			unknown	no Wikidata ID for SUNITA Anga and VENA Anga
11	Q160580	Q160615 (VENA Anga)	Q160596 (PRITHU Vena)			unknown	no Wikidata ID for VENA Anga and PRITHU Vena
11	Q160580	Q160596 (PRITHU Vena)	Q160576 (Vijitashva)			unknown	no Wikidata ID for PRITHU Vena and Vijitashva
11	Q160580	Q160576 (Vijitashva)	Q160560 (HAVIRDHANA)			unknown	no Wikidata ID for Vijitashva and HAVIRDHANA
11	Q160580	Q160560 (HAVIRDHANA)	Q160539 (PRACHINBARHI)			unknown	no Wikidata ID for HAVIRDHANA and PRACHINBARHI
11	Q160580	Q160539 (PRACHINBARHI)	Q160512 (PRACHETAS (10 sons))			unknown	no Wikidata ID for PRACHINBARHI and PRACHETAS (10 sons)
11	Q160580	Q160512 (PRACHETAS (10 sons))	Q160489 (DAKSHA Prachetas)			unknown	no Wikidata ID for PRACHETAS (10 sons) and DAKSHA Prachetas
11	Q160580	Q160489 (DAKSHA Prachetas)	Q160460 (Aditi Kashyapa)			unknown	no Wikidata ID for DAKSHA Prachetas and Aditi Kashyapa
11	Q160580	Q160460 (Aditi Kashyapa)	Q160580 (SURYA Dev aka SUN GOD Kashyap)			unknown	no Wikidata ID for Aditi Kashyapa and SURYA Dev aka SUN GOD Kashyap
12	Q160673	Q160673 (YAMA Dharma)	Q160640 (SUNITA Anga)			unknown	no Wikidata ID for YAMA Dharma and SUNITA Anga
12	Q160673	Q160640 (SUNITA Anga)	Q160615 (VENA Anga)			unknown	no Wikidata ID for SUNITA Anga and VENA Anga
12	Q160673	Q160615 (VENA Anga)	Q160596 (PRITHU Vena)			unknown	no Wikidata ID for VENA Anga and PRITHU Vena
12	Q160673	Q160596 (PRITHU Vena)	Q160576 (Vijitashva)			unknown	no Wikidata ID for PRITHU Vena and Vijitashva
12	Q160673	Q160576 (Vijitashva)	Q160560 (HAVIRDHANA)			unknown	no Wikidata ID for Vijitashva and HAVIRDHANA
12	Q160673	Q160560 (HAVIRDHANA)	Q160539 (PRACHINBARHI)			unknown	no Wikidata ID for HAVIRDHANA and PRACHINBARHI
12	Q160673	Q160539 (PRACHINBARHI)	Q160512 (PRACHETAS (10 sons))			unknown	no Wikidata ID for PRACHINBARHI and PRACHETAS (10 sons)
12	Q160673	Q160512 (PRACHETAS (10 sons))	Q160489 (DAKSHA Prachetas)			unknown	no Wikidata ID for PRACHETAS (10 sons) and DAKSHA Prachetas
12	Q160673	Q160489 (DAKSHA Prachetas)	Q160460 (Aditi Kashyapa)			unknown	no Wikidata ID for DAKSHA Prachetas and Aditi Kashyapa
12	Q160673	Q160460 (Aditi Kashyapa)	Q160730 (TVASTAR Kashyapa)			unknown	no Wikidata ID for Aditi Kashyapa and TVASTAR Kashyapa
12	Q160673	Q160730 (TVASTAR Kashyapa)	Q160707 (SANJNA \ Saranyu Saranyu)			unknown	no Wikidata ID for TVASTAR Kashyapa and SANJNA \ Saranyu Saranyu
12	Q160673	Q160707 (SANJNA \ Saranyu Saranyu)	Q160673 (YAMA Dharma)			unknown	no Wikidata ID for SANJNA \ Saranyu Saranyu and YAMA Dharma
2	Q70988	Q70988 (Lucius Scribonius Libo Drusus)	Q139601 (Marcus Livius Drusus Libo)	Q431201	Q544382	confirmed	Wikidata agrees Lucius Scribonius Libo Drusus is a parent of Marcus Livius Drusus Libo
2	Q70988	Q139601 (Marcus Livius Drusus Libo)	Q70988 (Lucius Scribonius Libo Drusus)	Q544382	Q431201	contradicted	Wikidata has the link the other way round: Lucius Scribonius Libo Drusus is a parent of Marcus Livius Drusus Libo
3	Q86607	Q86607 (Acha Ish Kfar Temarta)	"Q91134 (Abba ""Abbahu"" bar Acha bar Sallah al-Kafri)"			unknown	"no Wikidata ID for Acha Ish Kfar Temarta and Abba ""Abbahu"" bar Acha bar Sallah al-Kafri"
3	Q86607	"Q91134 (Abba ""Abbahu"" bar Acha bar Sallah al-Kafri)"	Q86617 (Shila Ish Kfar Temarta)			unknown	"no Wikidata ID for Abba ""Abbahu"" bar Acha bar Sallah al-Kafri and Shila Ish Kfar Temarta"
3	Q86607	Q86617 (Shila Ish Kfar Temarta)	Q86607 (Acha Ish Kfar Temarta)			unknown	no Wikidata ID for Shila Ish Kfar Temarta and Acha Ish Kfar Temarta
7	Q137878	Q137878 (NN ferch Cynfyn ap Gwerystan ap Gwaithfoed)	Q137383 (Nest ferch Gwrgan ab Ithel ab Idwallon)	Q116052822	Q110560364	confirmed	Wikidata agrees NN ferch Cynfyn ap Gwerystan ap Gwaithfoed is a parent of Nest ferch Gwrgan ab Ithel ab Idwallon
7	Q137878	Q137383 (Nest ferch Gwrgan ab Ithel ab Idwallon)	Q136957 (Meurig ab Ynyr Gwent)	Q110560364	Q110560357	confirmed	Wikidata agrees Nest ferch Gwrgan ab Ithel ab Idwallon is a parent of Meurig ab Ynyr Gwent
7	Q137878	Q136957 (Meurig ab Ynyr Gwent)	Q137384 (Ynyr, lord of Gwent)	Q110560357	Q110152975	confirmed	Wikidata agrees Meurig ab Ynyr Gwent is a parent of Ynyr, lord of Gwent
7	Q137878	Q137384 (Ynyr, lord of Gwent)	Q137899 (Morfudd ferch Ynir)	Q110152975	Q110152973	confirmed	Wikidata agrees Ynyr, lord of Gwent is a parent of Morfudd ferch Ynir
7	Q137878	Q137899 (Morfudd ferch Ynir)	Q137320 (Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys)	Q110152973	Q110153008	confirmed	Wikidata agrees Morfudd ferch Ynir is a parent of Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys
7	Q137878	Q137320 (Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys)	Q137900 (Cynfyn ap Gwerstan)	Q110153008	Q5199943	confirmed	Wikidata agrees Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys is a parent of Cynfyn ap Gwerstan
7	Q137878	Q137900 (Cynfyn ap Gwerstan)	Q137878 (NN ferch Cynfyn ap Gwerystan ap Gwaithfoed)	Q5199943	Q116052822	confirmed	Wikidata agrees Cynfyn ap Gwerstan is a parent of NN ferch Cynfyn ap Gwerystan ap Gwaithfoed
7	Q137384	Q137384 (Ynyr, lord of Gwent)	Q137899 (Morfudd ferch Ynir)	Q110152975	Q110152973	confirmed	Wikidata agrees Ynyr, lord of Gwent is a parent of Morfudd ferch Ynir
7	Q137384	Q137899 (Morfudd ferch Ynir)	Q137320 (Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys)	Q110152973	Q110153008	confirmed	Wikidata agrees Morfudd ferch Ynir is a parent of Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys
7	Q137384	Q137320 (Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys)	Q137449 (Lleuki|Nest ferch Gwerstan ap Gwaithfoed)	Q110153008	Q110582810	confirmed	Wikidata agrees Gwerstan ap Gwaithfoed ap Gloddieu ap Gwrhydur Hir, lord of Powys is a parent of Lleuki|Nest ferch Gwerstan ap Gwaithfoed
7	Q137384	Q137449 (Lleuki|Nest ferch Gwerstan ap Gwaithfoed)	Q136996 (Iorwerth Hir ap Llywarch Gam of Maelor)	Q110582810	Q110622211	confirmed	Wikidata agrees Lleuki|Nest ferch Gwerstan ap Gwaithfoed is a parent of Iorwerth Hir ap Llywarch Gam of Maelor
7	Q137384	Q136996 (Iorwerth Hir ap Llywarch Gam of Maelor)	Q137385 (Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick)	Q110622211	Q110560367	confirmed	Wikidata agrees Iorwerth Hir ap Llywarch Gam of Maelor is a parent of Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick
7	Q137384	Q137385 (Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick)	Q136958 (Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam)	Q110560367	Q110560366	confirmed	Wikidata agrees Ednyfed ab Iorwerth Hir ap Llywarch Gam of Crick is a parent of Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam
7	Q137384	Q136958 (Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam)	Q137384 (Ynyr, lord of Gwent)	Q110560366	Q110152975	confirmed	Wikidata agrees Elen ferch Ednyfed ab Iorwerth Hir ap Llywarch Gam is a parent of Ynyr, lord of Gwent
2	Q73323	Q73323 (Titus Manlius Torquatus)	Q73470 (Titus Manlius Torquatus)			unknown	no Wikidata ID for Titus Manlius Torquatus and Titus Manlius Torquatus
2	Q73323	Q73470 (Titus Manlius Torquatus)	Q73323 (Titus Manlius Torquatus)			unknown	no Wikidata ID for Titus Manlius Torquatus and Titus Manlius Torquatus
2	Q73470	Q73470 (Titus Manlius Torquatus)	Q99410 (Q99410)			unknown	no Wikidata ID for Titus Manlius Torquatus and Q99410
2	Q73470	Q99410 (Q99410)	Q73470 (Titus Manlius Torquatus)			unknown	no Wikidata ID for Q99410 and Titus Manlius Torquatus
9	Q138403	Q138403 (Clodia)	Q139560 (Licinia)	Q16542257	Q113376428	confirmed	Wikidata agrees Clodia is a parent of Licinia
9	Q138403	Q139560 (Licinia)	Q73458 (Gaius Caecilius)	Q113376428	Q107101893	contradicted	Wikidata records no link between them
9	Q138403	Q73458 (Gaius Caecilius)	Q73311 (Lucius Caecilius Metellus Denter)	Q107101893	Q521498	confirmed	Wikidata agrees Gaius Caecilius is a parent of Lucius Caecilius Metellus Denter
9	Q138403	Q73311 (Lucius Caecilius Metellus Denter)	Q73146 (Lucius Caecilius Metellus)	Q521498	Q359810	confirmed	Wikidata agrees Lucius Caecilius Metellus Denter is a parent of Lucius Caecilius Metellus
9	Q138403	Q73146 (Lucius Caecilius Metellus)	Q144060 (Quintus Caecilius Metellus)	Q359810	Q929498	confirmed	Wikidata agrees Lucius Caecilius Metellus is a parent of Quintus Caecilius Metellus
9	Q138403	Q144060 (Quintus Caecilius Metellus)	Q72858 (Quintus Caecilius Metellus Macedonicus)	Q929498	Q355768	confirmed	Wikidata agrees Quintus Caecilius Metellus is a parent of Quintus Caecilius Metellus Macedonicus
9	Q138403	Q72858 (Quintus Caecilius Metellus Macedonicus)	Q139550 (Quintus Caecilius Metellus Balearicus)	Q355768	Q459870	confirmed	Wikidata agrees Quintus Caecilius Metellus Macedonicus is a parent of Quintus Caecilius Metellus Balearicus
9	Q138403	Q139550 (Quintus Caecilius Metellus Balearicus)	Q138399 (Caecilia Metella)	Q459870	Q6454825	confirmed	Wikidata agrees Quintus Caecilius Metellus Balearicus is a parent of Caecilia Metella
9	Q138403	Q138399 (Caecilia Metella)	Q138403 (Clodia)	Q6454825	Q16542257	confirmed	Wikidata agrees Caecilia Metella is a parent of Clodia
8	Q139560	Q139560 (Licinia)	Q73458 (Gaius Caecilius)	Q113376428	Q107101893	contradicted	Wikidata records no link between them
8	Q139560	Q73458 (Gaius Caecilius)	Q73311 (Lucius Caecilius Metellus Denter)	Q107101893	Q521498	confirmed	Wikidata agrees Gaius Caecilius is a parent of Lucius Caecilius Metellus Denter
8	Q139560	Q73311 (Lucius Caecilius Metellus Denter)	Q73146 (Lucius Caecilius Metellus)	Q521498	Q359810	confirmed	Wikidata agrees Lucius Caecilius Metellus Denter is a parent of Lucius Caecilius Metellus
8	Q139560	Q73146 (Lucius Caecilius Metellus)	Q72984 (Quintus Caecilius Metellus)	Q359810		unknown	no Wikidata ID for Quintus Caecilius Metellus
8	Q139560	Q72984 (Quintus Caecilius Metellus)	Q72834 (Lucius Caecilius Metellus Calvus)		Q703354	unknown	no Wikidata ID for Quintus Caecilius Metellus
8	Q139560	Q72834 (Lucius Caecilius Metellus Calvus)	Q141414 (Caecilia Metella)	Q703354	Q461531	confirmed	Wikidata agrees Lucius Caecilius Metellus Calvus is a parent of Caecilia Metella
8	Q139560	Q141414 (Caecilia Metella)	Q139559 (Lucullus)	Q461531	Q242819	confirmed	Wikidata agrees Caecilia Metella is a parent of Lucullus
8	Q139560	Q139559 (Lucullus)	Q139560 (Licinia)	Q242819	Q113376428	confirmed	Wikidata agrees Lucullus is a parent of Licinia
8	Q73599	Q73599 (Gnaeus Servilius)	Q73479 (Quintus Servilius)			unknown	no Wikidata ID for Gnaeus Servilius and Quintus Servilius
8	Q73599	Q73479 (Quintus Servilius)	Q73332 (Publius Servilius)			unknown	no Wikidata ID for Quintus Servilius and Publius Servilius
8	Q73599	Q73332 (Publius Servilius)	Q73170 (Gaius Servilius)			unknown	no Wikidata ID for Publius Servilius and Gaius Servilius
8	Q73599	Q73170 (Gaius Servilius)	Q73985 (Quintus Servilius)			unknown	no Wikidata ID for Gaius Servilius and Quintus Servilius
8	Q73599	Q73985 (Quintus Servilius)	Q73910 (Gaius Servilius)			unknown	no Wikidata ID for Quintus Servilius and Gaius Servilius
