label,qid,instance_of_qid
Samut Sakhon,Q334686,Q50198
Samut Songkhram,Q459742,Q50198
San,Q131522532,Q743074
San Cristóbal Province,Q1366107,Q913337
San Fernando,Q1023712,Q1996198
San José de Ocoa Province,Q1424391,Q913337
San José Department,Q16579,Q56059
San José Province,Q647808,Q1075520
San Juan Province,Q2001793,Q913337
San Juan Province,Q44805,Q44753
San Juan–Laventille,Q979608,Q20732239
San Luis Potosí,Q78980,Q15149663
San Luis Province,Q44818,Q44753
San Marcos Department,Q883907,Q27448
San Marino,Q1848,Q14292916
San Martin Department,Q211793,Q861184
San Miguel Department,Q930804,Q475214
San Pedro de Macorís,Q1366119,Q913337
San Pedro Department,Q526176,Q815068
San Salvador Department,Q1543219,Q475214
San Salvador Island,Q845540,Q1230132
San Vicente Department,Q1130180,Q475214
Sanaa Governorate,Q388291,Q331130
Sancti Spíritus Province,Q115441,Q115291
Sandaun Province,Q753689,Q1053630
Sandomierz Voivodeship,Q2253235,Q84582639
Sandomierz Voivodeship,Q7416443,Q110736820
Sandomierz voivodeship,Q9377207,Q150093
Sandomierz Voivodeship (1816—1837),Q9377208,Q150093
Sangha Department,Q775410,Q868893
Sangha-Mbaéré,Q856237,Q843886
Sangre Grande Regional Corporation,Q290292,Q20732239
Sanjak of Abrumaz,Q50821879,Q330425
Sanjak of Acre,Q2014671,Q330425
Sanjak of Adil Djevaz,Q50842699,Q330425
Sanjak of Aghakis,Q50842844,Q330425
Sanjak of Aidin,Q15142330,Q330425
Sanjak of Aiwen,Q50804340,Q330425
Sanjak of Ajlun,Q50827218,Q330425
Sanjak of Ajub,Q50821877,Q330425
Sanjak of Akkerman,Q50804797,Q330425
Sanjak of Aksaray,Q50804909,Q330425
Sanjak of Akşehir,Q50804914,Q330425
Sanjak of Al-sah,Q50742743,Q330425
Sanjak of Albak,Q50842664,Q330425
Sanjak of Alhuran,Q50821694,Q330425
Sanjak of Alâiye,Q50757365,Q330425
Sanjak of Amasya,Q31193656,Q330425
Sanjak of Ana ve Hit,Q50841166,Q330425
Sanjak of Anabolu,Q50737317,Q330425
Sanjak of Anavarin,Q51227375,Q330425
Sanjak of Andıra,Q50737866,Q330425
Sanjak of Ane Sancağı,Q50787402,Q330425
Sanjak of Ankara,Q15142345,Q330425
Sanjak of Antalya,Q15142461,Q330425
Sanjak of Arabgir,Q50762243,Q330425
Sanjak of Arad,Q51218025,Q330425
Sanjak of Ardinj,Q50821539,Q330425
Sanjak of Arghiri,Q50970041,Q330425
Sanjak of Arkadya,Q51227399,Q330425
Sanjak of Asir,Q16125746,Q330425
Sanjak of Atshu Castle,Q50804801,Q330425
Sanjak of Aushni,Q50822111,Q330425
Sanjak of Ayvalık,Q51333932,Q330425
Sanjak of Baboça,Q3471855,Q330425
Sanjak of Badiye,Q50803961,Q330425
Sanjak of Bajwanli,Q50805622,Q330425
Sanjak of Balatin,Q50804860,Q330425
Sanjak of Ballibadra,Q51227540,Q330425
Sanjak of Banja Luka,Q16328189,Q330425
Sanjak of Bar,Q51214028,Q330425
Sanjak of Bargeri,Q50842873,Q330425
Sanjak of Batumi,Q50843101,Q330425
Sanjak of Bayezid,Q21210138,Q330425
Sanjak of Beirut,Q16120415,Q330425
Sanjak of Bender,Q50804799,Q330425
Sanjak of Benderazir,Q50804759,Q330425
Sanjak of Beni Rebia,Q50840725,Q330425
Sanjak of Beqaa,Q50827241,Q330425
Sanjak of Beybazarı,Q50741446,Q330425
Sanjak of Beyşehir,Q50804895,Q330425
Sanjak of Beçkerek,Q51221503,Q330425
Sanjak of Biat,Q50742365,Q330425
Sanjak of Bihać,Q14917914,Q330425
Sanjak of Bihke,Q50743614,Q330425
Sanjak of Bilecik,Q51331249,Q330425
Sanjak of Bilkas,Q50822106,Q330425
Sanjak of Birecik,Q50762017,Q330425
Sanjak of Bitlis,Q16374289,Q330425
Sanjak of Bosnia,Q12628176,Q330425
Sanjak of Boyak,Q51221912,Q330425
Sanjak of Bozok,Q15142355,Q330425
Sanjak of Budin,Q16328182,Q330425
Sanjak of Burdur,Q15142459,Q330425
Sanjak of Bursa,Q15138427,Q330425
Sanjak of Büyükçekmece,Q51024344,Q330425
Sanjak of Candia,Q15137874,Q330425
Sanjak of Cebel-i Bereket,Q51156178,Q330425
Sanjak of Cebrin,Q50804054,Q330425
Sanjak of Celebi-i-Garbi,Q51611809,Q330425
Sanjak of Chania,Q15137120,Q330425
Sanjak of Cisse,Q50804100,Q330425
Sanjak of Constantinople,Q50805752,Q330425
Sanjak of Debar,Q51199436,Q330425
Sanjak of Debreçin,Q51216410,Q330425
Sanjak of Dedeağaç,Q25477651,Q330425
Sanjak of Deh-balad,Q50742472,Q330425
Sanjak of Deir Rahba,Q50840702,Q330425
Sanjak of Demir-kapu,Q50742624,Q330425
Sanjak of Denizli,Q15142334,Q330425
Sanjak of Derneh,Q50742414,Q330425
Sanjak of Deyr,Q50787327,Q330425
Sanjak of Değirmenilk ve Mesentûri,Q50737819,Q330425
Sanjak of Dimyad,Q50738067,Q330425
Sanjak of Diwriji,Q50825668,Q330425
Sanjak of Diyadin,Q50842877,Q330425
Sanjak of Djebel,Q51611745,Q330425
Sanjak of Edirne,Q50805839,Q330425
Sanjak of Eharish,Q50841263,Q330425
Sanjak of Erbil,Q50821631,Q330425
Sanjak of Erdek,Q51333057,Q330425
Sanjak of Erdjish,Q50842686,Q330425
Sanjak of Ergani,Q21209995,Q330425
Sanjak of Ertugrul,Q15138429,Q330425
Sanjak of Erzincan,Q25486559,Q330425
Sanjak of Erzurum,Q21211552,Q330425
Sanjak of Eski Mosul,Q50805649,Q330425
Sanjak of Estergon,Q50748489,Q330425
Sanjak of Evset,Q50742513,Q330425
Sanjak of Eğri,Q50787589,Q330425
Sanjak of Famagusta,Q50757238,Q330425
Sanjak of Fenlak,Q51221484,Q330425
Sanjak of Fezzan,Q51611787,Q330425
Sanjak of Filek,Q50748548,Q330425
Sanjak of Filibe,Q50925788,Q330425
Sanjak of Galata,Q50736794,Q330425
Sanjak of Gastuni,Q51227577,Q330425
Sanjak of Genç,Q16376378,Q330425
Sanjak of Gharbi,Q51611761,Q330425
Sanjak of Giresun,Q50843110,Q330425
Sanjak of Giriz,Q50804761,Q330425
Sanjak of Gonio,Q50843097,Q330425
Sanjak of Great Ardehan,Q50821549,Q330425
Sanjak of Görice,Q28086547,Q330425
Sanjak of Gümüşhane,Q15211359,Q330425
Sanjak of Hajrek,Q50821543,Q330425
Sanjak of Hakkari,Q51203478,Q330425
Sanjak of Halmaş,Q51216442,Q330425
Sanjak of Hamid,Q18324630,Q330425
Sanjak of Hamidabad,Q15142464,Q330425
Sanjak of Harbus,Q50821534,Q330425
Sanjak of Hargigo,Q50735877,Q330425
Sanjak of Harput,Q25487007,Q330425
Sanjak of Harun,Q50842889,Q330425
Sanjak of Harú,Q50805655,Q330425
Sanjak of Hatvan,Q50748516,Q330425
Sanjak of Hazar mardud,Q50821692,Q330425
Sanjak of Hazir,Q50821697,Q330425
Sanjak of Hilla,Q50741555,Q330425
Sanjak of Hipovo,Q50748012,Q330425
Sanjak of Hit,Q50786762,Q330425
Sanjak of Holok,Q51221883,Q330425
Sanjak of Hudeyde,Q20394790,Q330425
Sanjak of Hüdavendigâr,Q50740792,Q330425
Sanjak of Ibrim,Q50735764,Q330425
Sanjak of Ijareh penbek,Q50821567,Q330425
Sanjak of Islimiye,Q51468914,Q330425
Sanjak of Ispaghird,Q50842682,Q330425
Sanjak of Ispir,Q50798885,Q330425
Sanjak of İpek,Q7418380,Q330425
Sanjak of İrşora,Q51221724,Q330425
Sanjak of İskenderiyye,Q50738046,Q330425
Sanjak of İstolni Belgrad,Q50744136,Q330425
Sanjak of Jangula,Q50741784,Q330425
Sanjak of Janik,Q50825660,Q330425
Sanjak of Jankha,Q50843081,Q330425
Sanjak of Javazar,Q50741662,Q330425
Sanjak of Jebel hamrin,Q50821689,Q330425
Sanjak of Jebella,Q50842574,Q330425
Sanjak of Jeddah,Q50735986,Q330425
Sanjak of Jemasa,Q50840613,Q330425
Sanjak of Jenguleh,Q50821686,Q330425
Sanjak of Kala-Ghazi,Q50822114,Q330425
Sanjak of Kamakh,Q50802302,Q330425
Sanjak of Kamaniçe,Q51214004,Q330425
Sanjak of Kangırı,Q50741205,Q330425
Sanjak of Kanije,Q50804819,Q330425
Sanjak of Kara-hisar,Q50798045,Q330425
Sanjak of Karahisar-i Sahib,Q50741106,Q330425
Sanjak of Karahisar-i-Sarip,Q15138431,Q330425
Sanjak of Karahisar-ı Şarki,Q51098935,Q330425
Sanjak of Karak,Q50827204,Q330425
Sanjak of Karanieh,Q50742667,Q330425
Sanjak of Karkar,Q50842628,Q330425
Sanjak of Kastamonu,Q15209711,Q330425
Sanjak of Kavala,Q16933216,Q330425
Sanjak of Kayseri,Q15142357,Q330425
Sanjak of Kayseriyye,Q50804880,Q330425
Sanjak of Keifi,Q50798458,Q330425
Sanjak of Kengiri,Q15209718,Q330425
Sanjak of Kerneh-deh,Q50742550,Q330425
Sanjak of Keshan,Q50842695,Q330425
Sanjak of Kesnan,Q50821636,Q330425
Sanjak of Khanis,Q50798915,Q330425
Sanjak of Kiangri,Q51235043,Q330425
Sanjak of Kilan,Q50742710,Q330425
Sanjak of Kinburn,Q50804806,Q330425
Sanjak of Kirklareli,Q50925654,Q330425
Sanjak of Kirsehir,Q15142359,Q330425
Sanjak of Kiğı,Q50762266,Q330425
Sanjak of Klis,Q3511771,Q330425
Sanjak of Konya,Q15142455,Q330425
Sanjak of Kopan,Q50744252,Q330425
Sanjak of Kordos,Q51227657,Q330425
Sanjak of Koron,Q51227685,Q330425
Sanjak of Kozan,Q51157155,Q330425
Sanjak of Krka,Q12634993,Q330425
Sanjak of Kuzudjan,Q50799183,Q330425
Sanjak of Kyrenia,Q50757287,Q330425
Sanjak of Küle,Q51220395,Q330425
Sanjak of Kütahya,Q20470659,Q330425
Sanjak of Kıbrıs,Q15137110,Q330425
Sanjak of Kırk Kilise,Q50824968,Q330425
Sanjak of Lasithi,Q15137880,Q330425
Sanjak of Lawaneh,Q50821576,Q330425
Sanjak of Lazistan,Q636919,Q330425
Sanjak of Lejengerd,Q50799240,Q330425
Sanjak of Leve,Q17233236,Q330425
Sanjak of Limni,Q15137108,Q330425
Sanjak of Lipva,Q51218073,Q330425
Sanjak of Litra,Q51221962,Q330425
Sanjak of Lom,Q51234847,Q330425
Sanjak of Maden,Q50802344,Q330425
Sanjak of Mahjil,Q50821563,Q330425
Sanjak of Malazgir,Q50798942,Q330425
Sanjak of Mamar,Q50799304,Q330425
Sanjak of Mardin,Q16392873,Q330425
Sanjak of Massawa,Q50735923,Q330425
Sanjak of Massu,Q50841268,Q330425
Sanjak of Medine-i-Münevvere,Q51203021,Q330425
Sanjak of Mejibuji,Q51214058,Q330425
Sanjak of Mekke-i-Mükerreme,Q51202976,Q330425
Sanjak of Merkareh,Q50821695,Q330425
Sanjak of Mersin,Q51156131,Q330425
Sanjak of Messalonghi,Q51227612,Q330425
Sanjak of Mezistre,Q50738015,Q330425
Sanjak of Midilli,Q15137105,Q330425
Sanjak of Modava,Q51221581,Q330425
Sanjak of Mohaç,Q3471863,Q330425
Sanjak of Mokha,Q50841258,Q330425
Sanjak of Monastir,Q15137064,Q330425
Sanjak of Mora,Q17149890,Q330425
Sanjak of Mosul,Q28455949,Q330425
Sanjak of Moton,Q51227737,Q330425
Sanjak of Mubarraz,Q50804285,Q330425
Sanjak of Musul,Q15715264,Q330425
Sanjak of Muş,Q16393972,Q330425
Sanjak of Müküs,Q50842654,Q330425
Sanjak of Nadaj,Q50804858,Q330425
Sanjak of Najd,Q15715842,Q330425
Sanjak of Narda,Q50970314,Q330425
Sanjak of Nazareth,Q50841574,Q330425
Sanjak of Negniie,Q50804746,Q330425
Sanjak of Netif,Q50804755,Q330425
Sanjak of Nevahi-i Erbaa,Q51466070,Q330425
Sanjak of Nigde,Q15142456,Q330425
Sanjak of Novi Pazar,Q1233295,Q330425
Sanjak of Novigrad,Q50748770,Q330425
Sanjak of Nusuf Awan,Q50821581,Q330425
Sanjak of Orşova,Q51221611,Q330425
Sanjak of Oulti,Q50821524,Q330425
Sanjak of Pak,Q50821880,Q330425
Sanjak of Pakrac,Q24804670,Q330425
Sanjak of Pançova,Q51221558,Q330425
Sanjak of Paphos,Q50757326,Q330425
Sanjak of Pasha,Q50804779,Q330425
Sanjak of Pasin,Q50798842,Q330425
Sanjak of Pera,Q51024272,Q330425
Sanjak of Perteli,Q50822093,Q330425
Sanjak of Pespirim,Q50748793,Q330425
Sanjak of Peçuy,Q50745899,Q330425
Sanjak of Pirgos,Q51227768,Q330425
Sanjak of Pljevlja,Q51100352,Q330425
Sanjak of Postkhu,Q50821554,Q330425
Sanjak of Preveza,Q16933234,Q330425
Sanjak of Prishtina,Q13045440,Q330425
Sanjak of Purtekrek,Q50821571,Q330425
Sanjak of Pyce,Q18692488,Q330425
Sanjak of Rahbe,Q50787370,Q330425
Sanjak of Rethymno,Q15137870,Q330425
Sanjak of Rika,Q50841053,Q330425
Sanjak of Roha,Q50841188,Q330425
Sanjak of Rudin,Q50821834,Q330425
Sanjak of Ruha,Q50762062,Q330425
Sanjak of Rumahia,Q50741694,Q330425
Sanjak of Ruse,Q51027681,Q330425
Sanjak of Ráckeve,Q50756866,Q330425
Sanjak of Sakul,Q50804741,Q330425
Sanjak of Salamieh,Q50842568,Q330425
Sanjak of Salanta,Q51216371,Q330425
Sanjak of Samokov,Q51213792,Q330425
Sanjak of Samwat,Q50742326,Q330425
Sanjak of Sana'a,Q16125738,Q330425
Sanjak of Sarajevo,Q50743642,Q330425
Sanjak of Saruj,Q50841013,Q330425
Sanjak of Sarujek,Q50821627,Q330425
Sanjak of Sawakin,Q50735811,Q330425
Sanjak of Sebeh,Q50821839,Q330425
Sanjak of Segedin,Q3062776,Q330425
Sanjak of Sekçay,Q50748735,Q330425
Sanjak of Senturin,Q50737911,Q330425
Sanjak of Serfiğe,Q15133422,Q330425
Sanjak of Seçen,Q50748578,Q330425
Sanjak of Seçuy,Q50756912,Q330425
Sanjak of Sfakia,Q15137877,Q330425
Sanjak of Sheher bazar,Q50821639,Q330425
Sanjak of Sheherzul,Q50822115,Q330425
Sanjak of Shushad,Q50821585,Q330425
Sanjak of Sidon,Q50827267,Q330425
Sanjak of Siget,Q50804847,Q330425
Sanjak of Siirt,Q16399351,Q330425
Sanjak of Sincar,Q50761984,Q330425
Sanjak of Sinob,Q15209720,Q330425
Sanjak of Sis,Q50736217,Q330425
Sanjak of Sivas,Q31194303,Q330425
Sanjak of Siverek,Q50762106,Q330425
Sanjak of Sjenica,Q51100378,Q330425
Sanjak of Slimia,Q50925808,Q330425
Sanjak of Smederevo,Q1813999,Q330425
Sanjak of Sofia,Q7418384,Q330425
Sanjak of Sokolofja,Q50804854,Q330425
Sanjak of Somay,Q50842882,Q330425
Sanjak of Sonluk,Q50748649,Q330425
Sanjak of Sultanönü,Q50741310,Q330425
Sanjak of Syrmia,Q7418385,Q330425
Sanjak of Ta'izz,Q16125710,Q330425
Sanjak of Tabariah,Q50841579,Q330425
Sanjak of Tadmur,Q50827252,Q330425
Sanjak of Tarsus,Q50736185,Q330425
Sanjak of Tağan Geçidi,Q50825601,Q330425
Sanjak of Taşoz,Q51161741,Q330425
Sanjak of Teke,Q50741166,Q330425
Sanjak of Tekirdag,Q50925704,Q330425
Sanjak of Tekman,Q50799122,Q330425
Sanjak of Tekrit,Q50805641,Q330425
Sanjak of Terteng,Q50742206,Q330425
Sanjak of Tiltari,Q50821837,Q330425
Sanjak of Tokad,Q31193679,Q330425
Sanjak of Trabzon,Q15210208,Q330425
Sanjak of Travnik,Q50743669,Q330425
Sanjak of Tuhaymiyah,Q50804031,Q330425
Sanjak of Tulcea,Q51027050,Q330425
Sanjak of Turtum,Q50799211,Q330425
Sanjak of Tyre,Q50841558,Q330425
Sanjak of Tărnovo,Q51027702,Q330425
Sanjak of Tımışvar,Q51217990,Q330425
Sanjak of Uyun,Q50803833,Q330425
Sanjak of Valiova,Q50804850,Q330425
Sanjak of Valpuva,Q50804856,Q330425
Sanjak of Van,Q50842605,Q330425
Sanjak of Varat,Q51216300,Q330425
Sanjak of Varna,Q51027652,Q330425
Sanjak of Vidin,Q16258258,Q330425
Sanjak of Virantsehir,Q51214584,Q330425
Sanjak of Vitze,Q50843088,Q330425
Sanjak of Yanova,Q51220351,Q330425
Sanjak of Yazlofça,Q51214075,Q330425
Sanjak of Zane,Q50804804,Q330425
Sanjak of Zayla,Q50735960,Q330425
Sanjak of Zeng abad,Q50741625,Q330425
Sanjak of Zenjir,Q50821876,Q330425
Sanjak of Zeriki,Q50842635,Q330425
Sanjak of Zigetvar,Q50748112,Q330425
Sanjak of Zülkadriye,Q50757748,Q330425
Sanjak of Çakova,Q51221530,Q330425
Sanjak of Çatalca,Q20476704,Q330425
Sanjak of Çemişkeze,Q50762291,Q330425
Sanjak of Çermik,Q50762130,Q330425
Sanjak of Çorum,Q15142361,Q330425
Sanjak of Özi,Q50824954,Q330425
Sanjak of Şaşvar,Q51221935,Q330425
Sanjak of Şebeş and Lagoş,Q51221694,Q330425
Sanjak of Şebinkarahisar,Q31194172,Q330425
Sanjak of Şenköy,Q51216459,Q330425
Sanjak of Şikloş,Q50744274,Q330425
Sanjak of Şimontorna,Q50748677,Q330425
Sanjak of Şırvî,Q50842642,Q330425
Sanjak of Şıtak,Q50842658,Q330425
Sankuru,Q209829,Q654140
Sanma,Q740640,Q847299
Sanok Land,Q1237155,Q1248049
Sant Julià de Lòria,Q24282,Q24279
Santa Ana Department,Q671158,Q475214
Santa Bárbara Department,Q591139,Q728145
Santa Catarina,Q41115,Q485258
Santa Catarina Province,Q17378391,Q616981
Santa Clara Province,Q2392373,Q115291
Santa Cruz Department,Q235106,Q250050
Santa Cruz Province,Q44821,Q44753
Santa Elena Province,Q1124125,Q719987
Santa Fe Province,Q44823,Q44753
Santa Rosa Department,Q885656,Q27448
Santander Department,Q235166,Q215655
Santarém,Q244510,Q3032141
Santiago de Cuba Province,Q234200,Q115291
Santiago del Estero Province,Q44827,Q44753
Santiago Metropolitan Region,Q2131,Q590080
Santiago Province,Q1772983,Q913337
Santiago Rodríguez Province,Q2021942,Q913337
Santo Domingo de los Tsáchilas Province,Q1123208,Q719987
Santo Domingo Province,Q1352536,Q913337
Sar-e Pol Province,Q182487,Q158683
Saraburi,Q337627,Q50198
Saraj Municipality,Q1309481,Q646793
Saramacca District,Q1351157,Q1649296
Sarangani,Q13877,Q24746
Saratov Oblast,Q5334,Q835714
Saratov Viceroyalty,Q16715398,Q4312761
Sarawak,Q170462,Q15063586
Sardinia,Q1462,Q1710033
Sarpang District,Q728947,Q831889
Sarrebourg,Q54810238,Q57318
Saruhan sanjak,Q6071248,Q330425
Sary-Assia vilayat,Q136655046,Q136655001
Saskatchewan,Q1989,Q11828004
Sassandra-Marahoué District,Q20365127,Q20717263
Satakunta,Q5709,Q193512
Satu Mare County,Q165459,Q1776764
Satu-Mare County,Q11797177,Q41720204
Satun,Q236263,Q50198
Satupa'itea,Q651573,Q1070167
Saulkrasti Municipality,Q371429,Q110211119
Saulkrasti Municipality,Q97232692,Q3345345
Saurashtra State,Q2227696,Q12443800
Sava Region,Q1143915,Q971831
Savanes District,Q21002161,Q20717263
Savanes Region,Q279945,Q139228
Savannah Region,Q60764352,Q1052743
Savannakhet Province,Q465940,Q15673297
Savanne District,Q1053600,Q2387050
Savolax and Karelia County,Q3277084,Q64624092
Savolax and Kymmenegård County,Q2991421,Q64624092
Sawankhalok,Q13014123,Q50198
Saxe-Altenburg,Q158151,Q26830017
Saxe-Coburg-Eisenach,Q640700,Q26830017
Saxe-Coburg-Saalfeld,Q700663,Q26830017
Saxe-Eisenach,Q696651,Q26830017
Saxe-Gotha,Q700229,Q26830017
Saxe-Gotha-Altenburg,Q675085,Q26830017
Saxe-Hildburghausen,Q281005,Q26830017
Saxe-Jena,Q829700,Q26830017
Saxe-Weimar,Q315667,Q26830017
Saxe-Weimar-Eisenach,Q155570,Q26830017
Saxe-Weissenfels,Q700247,Q26830017
Saxe-Zeitz,Q541169,Q26830017
Saxony,Q27916522,Q1801891
Saxony,Q1202,Q1221156
Saxony-Anhalt,Q1206,Q1221156
Saïda Province,Q233640,Q240601
Schaan,Q49657,Q203300
Schaumburg-Lippe,Q310650,Q26830017
Schelde en Maas Department,Q3057888,Q15631887
Schellenberg,Q49655,Q203300
Schleswig-Holstein,Q1194,Q1221156
Schloss Bonndorf,Q2139501,Q26830017
Schwarzburg-Rudolstadt,Q695316,Q26830017
Schwerin District,Q48101,Q15630895
Scotland,Q22,Q3336843
Scutari sanjak,Q7418374,Q330425
Scutari vilayet,Q653394,Q1462047
Sebasteia,Q1716681,Q379817
Sejong,Q20929,Q16181672
Sekong province,Q585707,Q15673297
Selangor,Q189710,Q15063586
Selefkeh Sanjak,Q51235254,Q330425
Selenge Province,Q234680,Q50399
Seleucia,Q1273801,Q379817
Semnan Province,Q168949,Q1344695
Sennar,Q865534,Q746290
Seoul,Q8684,Q7574799
Sergipe,Q43783,Q485258
Sergipe Province,Q17351564,Q616981
Serio Department,Q3479816,Q92938359
Sermersooq,Q695387,Q16423979
Serravalle,Q185412,Q14292916
Serres sanjak,Q16933243,Q330425
Servia (theme),Q21212454,Q379817
Servia sanjak,Q1624152,Q330425
Setúbal,Q274109,Q3032141
Sevastopol,Q7525,Q43263
Sevastopol City State Administration,Q16715714,Q5124045
Severin County,Q7457875,Q41720204
Sevnica Municipality,Q11214302,Q328584
Sfax Governorate,Q241145,Q690084
Shaanxi,Q11658095,Q11625999
Shaanxi,Q47974,Q1615742
Shabran District,Q387994,Q13417250
Shabwah Governorate,Q328180,Q331130
Shahbuz District,Q388081,Q13417250
Shahrizor eyalet,Q3934830,Q44565
Shahumyan Province,Q782992,Q17379685
Shaki,Q234783,Q56557664
Shaki District,Q330864,Q13417250
Shamakhi District,Q330839,Q13417250
Shamkir District,Q467491,Q13417250
Shan State,Q456847,Q17315624
Shandong,Q43407,Q1615742
Shang-hai,Q10867816,Q499073
Shanghai,Q8686,Q1208802
Shansi,Q9574531,Q9319988
Shantung,Q9574455,Q9319988
Shanxi,Q46913,Q1615742
Sharqia Governorate,Q31074,Q204910
Sharur District,Q390820,Q13417250
Shaviyani Atoll,Q2190334,Q757549
Shefa,Q650617,Q847299
Shenyang,Q19852976,Q1208802
Shida Kartli,Q200047,Q1210300
Shiga Prefecture,Q131358,Q50337
Shimane Prefecture,Q132751,Q50337
Shinchiku Prefecture,Q697879,Q69936573
Shinyanga Region,Q153339,Q845820
Shirak Province,Q201063,Q514860
Shirvan,Q241116,Q56557664
Shiselweni Region,Q845934,Q1069042
Shizuoka Prefecture,Q131320,Q50337
Shkodër County,Q193438,Q104251
Shuiji County,Q11129686,Q706447
Shumen,Q184981,Q209824
Shusha District,Q388960,Q13417250
Shushi Province,Q2252161,Q17379685
Shymkent,Q485496,Q12266391
Si Sa Ket,Q380761,Q50198
Siaya County,Q3482913,Q269218
Siberian Governorate-General,Q602117,Q671370
Sibiu County,Q184797,Q1776764
Sibiu County,Q12731480,Q41720204
Sichuan,Q19770,Q1615742
Sicily,Q1460,Q1710033
Sicily Theme,Q1895939,Q379817
Sidama Region,Q1070673,Q1057504
Sidi Bel Abbès Province,Q235714,Q240601
Sidi Bouzid Governorate,Q327097,Q690084
Sidon Eyalet,Q3934837,Q44565
Sidon sanjak,Q24887674,Q330425
Siedlce Department,Q1141927,Q15623448
Siedlce Voivodeship,Q1752654,Q150093
Siem Reap Province,Q652818,Q7252589
Sieradz Voivodeship,Q1023589,Q150093
Sieradz Voivodeship,Q1752919,Q150093
Sigulda Municipality,Q2299251,Q110211119
Sigulda Municipality,Q97232700,Q3345345
Sihanoukville Province,Q220966,Q7252589
Siirt Province,Q482825,Q48336
Sikasso,Q461298,Q743074
Sikkim,Q1505,Q12443800
Sila Region,Q1149611,Q640262
Silesian Voivodeship,Q939320,Q150093
Silesian Voivodeship,Q9377219,Q150093
Silesian Voivodeship,Q54181,Q150093
Siliana Governorate,Q328115,Q690084
Silistra,Q2012423,Q209824
Silistra eyalet,Q1385946,Q44565
Silistra Sanjak,Q50824958,Q330425
Simbirsk Viceroyalty,Q4419541,Q4312761
Simiyu Region,Q2787568,Q845820
Sinai,Q20390997,Q204910
Sinaloa,Q80252,Q15149663
Sindh,Q37211,Q15058985
Sine-Saloum,Q1572262,Q847667
Sing Buri,Q334836,Q50198
Singida Region,Q153326,Q845820
Sinoe County,Q1043644,Q874821
Sinop Province,Q134413,Q48336
Sipaliwini District,Q1130138,Q1649296
Siparia Regional Corporation,Q2679119,Q20732239
Sirdaryo Region,Q487547,Q842420
Sirmium,Q1278936,Q379817
Sirte District,Q26417,Q48242
Sisak-Moslavina County,Q57060,Q57053
Sisophon Province,Q7530902,Q50198
Sistan and Baluchestan Province,Q939575,Q1344695
Sivas Province,Q483100,Q48336
Sivas vilayet,Q1586406,Q1462047
Siyazan District,Q820940,Q13417250
Skaraborg County,Q922842,Q64624092
Skierniewice Voivodeship,Q1752924,Q150093
Skikda Province,Q234227,Q240601
Skrunda Municipality,Q2299239,Q110211119
Skrīveri Municipality,Q2286864,Q110211119
Skuodas District Municipality,Q219115,Q17301072
Skåne County,Q103659,Q200547
Sliven,Q113120,Q209824
Slonim Viceroyalty,Q1390939,Q4312761
Slottslän of Porvoo,Q11888758,Q10671645
Slovenske Konjice Municipality,Q13378155,Q328584
Smiltene Municipality,Q1959984,Q110211119
Smiltene Municipality,Q97232760,Q3345345
Smolensk Oblast,Q2347,Q43263
Smolensk Viceroyalty,Q16716925,Q4312761
Smolyan,Q2012430,Q209824
Smålands county,Q49099123,Q200547
Soccsksargen,Q13701,Q24698
Sochaczew Land,Q9391134,Q1248049
Socialist Autonomous Province of Vojvodina,Q843919,Q15629146
Socialist Soviet Republic of Abkhazia,Q307041,Q236036
Socotra Archipelago Governorate,Q15728745,Q331130
Sofala,Q622801,Q695469
Sofia,Q1165783,Q971831
Sofia City,Q1585725,Q209824
Sofia Oblast,Q202904,Q209824
Sofia Oblast,Q91615385,Q91610157
Sogn og Fjordane,Q50626,Q83640434
Sohag Governorate,Q30669,Q204910
Sokoto State,Q503941,Q465842
Solms-Hohensolms-Lich,Q522166,Q26830017
Sololá Department,Q178136,Q27448
Solčava Municipality,Q1313614,Q328584
Somali Region,Q202800,Q1057504
Someș County,Q12731488,Q41720204
Somogy County,Q190522,Q188604
Songkhla,Q235574,Q50198
Songwe Region,Q25618976,Q845820
Sonora,Q46422,Q15149663
Sonsonate Department,Q212540,Q475214
Sonsorol,Q866699,Q1044181
Sophene,Q1303676,Q4073603
Sopište Municipality,Q2282240,Q646793
Sopotnica Municipality,Q26234771,Q133444419
Sopron,Q168648,Q681277
Soriano Department,Q16584,Q56059
Soroca,Q853785,Q1963041
Soroca County,Q6274137,Q4469598
Soroca County,Q12731489,Q41720204
Soroca District,Q2129022,Q15068450
Sorsogon,Q13881,Q24746
Sostro District,Q12806958,Q12806962
Sotavento Islands,Q500453,Q10864048
Souk Ahras Province,Q236772,Q240601
Souss-Massa,Q20652586,Q845643
Sousse Governorate,Q276565,Q690084
South,Q857122,Q869042
South Abaco,Q2703192,Q1230132
South Aegean Region,Q173616,Q207299
South Andros,Q2408672,Q1230132
South Australia,Q35715,Q5852411
South Banat District,Q720030,Q648681
South Bačka District,Q648718,Q648681
South Bohemian Region,Q188373,Q38911
South Brabant,Q912843,Q10864048
South Caribbean Coast Autonomous Region,Q291279,Q822715
South Carolina,Q1456,Q35657
South Central Province,Q7566772,Q18592110
South Chungcheong,Q41070,Q4925355
South Cotabato,Q13882,Q24746
South Dakota,Q1211,Q35657
